,stoploss,squee,lookback,ema_length,conv,length,lengthMA,lengthSignal,fast,slow,signal,net_profit
209,10,2,10,24,44,24,30,11,10,20,16,339.75000000000364
210,10,2,10,24,44,24,30,11,10,25,10,332.5500000000029
211,10,2,10,24,44,24,30,11,10,25,13,339.75000000000364
212,10,2,10,24,44,24,30,11,10,25,16,339.75000000000364
213,10,2,10,24,44,24,30,11,10,30,10,332.5500000000029
214,10,2,10,24,44,24,30,11,10,30,13,339.75000000000364
215,10,2,10,24,44,24,30,11,10,30,16,339.75000000000364
216,10,2,10,24,44,24,30,11,13,20,10,332.5500000000029
217,10,2,10,24,44,24,30,11,13,20,13,339.75000000000364
218,10,2,10,24,44,24,30,11,13,20,16,339.75000000000364
219,10,2,10,24,44,24,30,11,13,25,10,339.75000000000364
220,10,2,10,24,44,24,30,11,13,25,13,339.75000000000364
221,10,2,10,24,44,24,30,11,13,25,16,339.75000000000364
222,10,2,10,24,44,24,30,11,13,30,10,339.75000000000364
223,10,2,10,24,44,24,30,11,13,30,13,339.75000000000364
224,10,2,10,24,44,24,30,11,13,30,16,339.75000000000364
225,10,2,10,24,44,24,30,11,16,20,10,339.75000000000364
226,10,2,10,24,44,24,30,11,16,20,13,339.75000000000364
227,10,2,10,24,44,24,30,11,16,20,16,339.75000000000364
228,10,2,10,24,44,24,30,11,16,25,10,339.75000000000364
229,10,2,10,24,44,24,30,11,16,25,13,339.75000000000364
230,10,2,10,24,44,24,30,11,16,25,16,339.75000000000364
231,10,2,10,24,44,24,30,11,16,30,10,339.75000000000364
232,10,2,10,24,44,24,30,11,16,30,13,339.75000000000364
233,10,2,10,24,44,24,30,11,16,30,16,339.75000000000364
234,10,2,10,24,44,24,34,7,10,20,10,240.5000000000109
235,10,2,10,24,44,24,34,7,10,20,13,230.20000000001164
236,10,2,10,24,44,24,34,7,10,20,16,230.20000000001164
237,10,2,10,24,44,24,34,7,10,25,10,240.5000000000109
238,10,2,10,24,44,24,34,7,10,25,13,230.20000000001164
