,time,time,reason,bull or bear
315,01/03/24,10:50:00 AM,super_trend_ said no,
316,01/03/24,10:55:00 AM,super_trend_ said no,
317,01/03/24,11:00:00 AM,super_trend_ said no,
318,01/03/24,11:05:00 AM,super_trend_ said no,
319,01/03/24,11:10:00 AM,super_trend_ said no,
320,01/03/24,11:15:00 AM,super_trend_ said no,
321,01/03/24,11:20:00 AM,super_trend_ said no,
322,01/03/24,11:25:00 AM,super_trend_ said no,
323,01/03/24,11:30:00 AM,super_trend_ said no,
324,01/03/24,11:35:00 AM,super_trend_ said no,
325,01/03/24,11:40:00 AM,super_trend_ said no,
326,01/03/24,11:45:00 AM,super_trend_ said no,
327,01/03/24,11:50:00 AM,super_trend_ said no,
328,01/03/24,11:55:00 AM,super_trend_ said no,
329,01/03/24,12:00:00 PM,super_trend_ said no,
330,01/03/24,12:05:00 PM,super_trend_ said no,
331,01/03/24,12:10:00 PM,super_trend_ said no,
332,01/03/24,12:15:00 PM,super_trend_ said no,
333,01/03/24,12:20:00 PM,super_trend_ said no,
334,01/03/24,12:25:00 PM,super_trend_ said no,
335,01/03/24,12:30:00 PM,super_trend_ said no,
336,01/03/24,12:35:00 PM,super_trend_ said no,
337,01/03/24,12:40:00 PM,super_trend_ said no,
338,01/03/24,12:45:00 PM,super_trend_ said no,
339,01/03/24,12:50:00 PM,super_trend_ said no,
340,01/03/24,12:55:00 PM,super_trend_ said no,
341,01/03/24,1:00:00 PM,super_trend_ said no,
342,01/03/24,1:05:00 PM,super_trend_ said no,
343,01/03/24,1:10:00 PM,super_trend_ said no,
344,01/03/24,1:15:00 PM,super_trend_ said no,
345,01/03/24,1:20:00 PM,super_trend_ said no,
346,01/03/24,1:25:00 PM,super_trend_ said no,
347,01/03/24,1:30:00 PM,super_trend_ said no,
348,01/03/24,1:35:00 PM,super_trend_ said no,
349,01/03/24,1:40:00 PM,super_trend_ said no,
350,01/03/24,1:45:00 PM,super_trend_ said no,
351,01/03/24,1:50:00 PM,super_trend_ said no,
352,01/03/24,1:55:00 PM,super_trend_ said no,
353,01/03/24,2:00:00 PM,super_trend_ said no,
354,01/03/24,2:05:00 PM,super_trend_ said no,
